InspectionID,DefectCategory,SeverityWeight,TranslatedText,VaderCompound
306,Logistics Issue,3.0,It's been a long time.,0.0
312,Fulfillment Error,3.5,When I made the purchase of the kit I understood that I would receive 2 bottles of 60 capsules (each) and not 2 bottles with 60 capsules in total. I will not return just because I need the product.,0.0
321,Not a Defect,0.0,Product I do not recommend not to read on any device,-0.2755
331,Logistics Issue,3.25,"Trying to cancel the product since before the tax bill was issued. I was not notified that it was in the mail, I had no response from the cancellation and I can't return it.",-0.4939
333,Fulfillment Error,3.7,"Lamenetable... Good night is regrettable, this shop that so many purchases I have already made and today does not give me satisfaction even of a watch in the importance of 50,00 real ... a product with defect and so far has not given me rector",-0.4031
337,Quality Issue,2.66,Poor quality! The protective cover is not exactly what I expected leaves to be desired in the material type and in the quality.,-0.3164
342,Quality Issue,2.46,Dissatisfied On the website the product seems to have better quality of material and finish.,0.0772
347,Logistics Issue,2.91,"The packaging left to be desired, by little the product was not damaged, the box was all crushed.",0.1793
350,Fulfillment Error,3.65,The cables and the manual are missing.,-0.296
362,Logistics Issue,3.09,"The product was packed only with brown paper on the packaging and sent by the post office. Of course, the packaging arrived crushed and only god knows whether the product is working or not, I have not yet tested.",-0.1779
365,Logistics Issue,3.0,"Last time I buy because today it's going to be a month since I bought it and nothing, and if it takes time to deliver, I'll be looking for my rights against the Lannister stores and the Targaryen.",0.0
381,Quality Issue,2.82,"I didn't like the product, poor quality material.",-0.6381
382,Fulfillment Error,3.5,"Of the two products purchased, only one was delivered!",0.0
383,Logistics Issue,2.85,I don't buy in Lannister anymore. Whether you're a partner of Lannister or not this targaryen I never use again. When I read that it's this company I run out. An absurd. Almost a month to deliver. Extra.com ok,0.296
384,Not a Defect,0.0,I received the product correctly,0.0
395,Fulfillment Error,3.71,no delivery of the product receives only 01 piece of the product! I am needing the remaining 2 pieces!,-0.4184
399,Not a Defect,0.0,They didn't even make the tax bill.,0.0
409,Not a Defect,0.0,"The MP3 player doesn't work, even changing the stack several times.",0.0
420,Not a Defect,0.0,The targaryen is not reliable did not deliver my purchase and put in the tracking of the request that was delivered on the 14/12/17 fake company I want to receive my products that were paid with bank ticket,-0.4215
423,Quality Issue,2.57,The bag is very pretty on the outside But inside there's no lining And it's very fragile,-0.1415
427,Not a Defect,0.0,"Pirate product! When I installed the ink cartridge, my printer indicated that it was empty, and presented the error message ""!"" above the ink level marker. I have already requested the exchange.",-0.6229
444,Fulfillment Error,3.45,"The two leather covers bought were not delivered, just one of them. I await the return of the money or the delivery of the second cover.",0.1027
456,Fulfillment Error,3.16,"Note 8 I was happy with the fabric, but I think the top sheet was missing to be complete, I hope they'll launch soon.",0.6808
460,Logistics Issue,3.31,"There was some confusion between the seller and the stark, as I received an email from the stark asking for the cancellation of the product for some unforeseen in the delivery; I denied and received the product days later.",-0.6249
