InspectionID,ReviewText
306,Passou dos dias previstos.
312,Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.
321,Produto não recomendo não ler em nenhum dispositivo
331,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver."
333,"Lamenetável... Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor"
337,Qualidade ruim! A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.
342,Insatisfeito No site o produto parece ter melhor qualidade de material e acabamento.
347,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada."
350,Faltaram os cabos e o manual
362,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei."
365,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen."
381,"Não gostei do produto, material de péssima qualidade."
382,"Dos dois produtos comprados, foi entregue apenas um!"
383,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok
384,Recebi corretamente o produto
395,nao entrega do produto recebe apenas 01 peça do produto! estou precisando da 2 peças restante!
399,Nem fizeram a nota fiscal
409,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver."
420,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari
423,"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil"
427,"Produto pirata! Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca."
444,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.
456,"Nota 8 Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem."
460,"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois."
472,No dia 19 de maio usei e a à alça quebrou sem muito peso
489,comprei o produto na cor preta e chegou na cor vermelha.
497,Pensei que a mochila fosse um material mais resistente.
500,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado"
502,o produto demora muita para chegar !
506,"So recebemos um relogio pelo correio

att"
514,"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais."
515,"Somente foi entregue uma unidade, ao invés de duas."
523,recebi sim mais com defeito os encaixes sao dois igual e nao fecham
526,Ainda não recebi
531,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja."
539,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!"
543,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!"
545,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡"
552,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação
553,"Não recebi o produto, assim como nenhum contato por parte do .vendedor"
556,Nem ratrear estou conseguindo:(
558,Esperando o instalador
559,"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega"
